2024-06-17 15:11:48.5691 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo)' 
2024-06-17 15:11:48.5691 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "GetAllOrderDetails", controller = "CLOrderService"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult GetAllOrderDetails() on controller LogLevel_Demo.Controllers.CLOrderServiceController (LogLevel_Demo). 
2024-06-17 15:12:09.7284 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo) - Validation state: Valid 
2024-06-17 15:12:14.7984 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action method LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 5067.1335ms. 
2024-06-17 15:12:14.7984 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[LogLevel_Demo.Model.ORD01, LogLevel_Demo, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'. 
2024-06-17 15:12:14.7984 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo) in 26226.2479ms 
2024-06-17 15:12:14.7984 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo)' 
2024-06-17 15:12:14.7984 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/api/CLOrderService/GetAllOrderDetails - - - 200 - application/json;+charset=utf-8 26230.0707ms 
2024-06-17 15:46:02.1523 | INFO | LogLevel_Demo.Program | Hello 
2024-06-17 15:46:05.1753 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/swagger/index.html - - 
2024-06-17 15:46:05.6825 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/_framework/aspnetcore-browser-refresh.js - - 
2024-06-17 15:46:05.6825 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/_vs/browserLink - - 
2024-06-17 15:46:05.7132 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/swagger/index.html - - - 200 - text/html;charset=utf-8 546.0901ms 
2024-06-17 15:46:05.7132 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/_framework/aspnetcore-browser-refresh.js - - - 200 11996 application/javascript;+charset=utf-8 25.6649ms 
2024-06-17 15:46:05.7433 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 48.9964ms 
2024-06-17 15:46:05.9313 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/swagger/v1/swagger.json - - 
2024-06-17 15:46:06.1266 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 196.5494ms 
2024-06-17 15:46:30.6834 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/api/CLOrderService/GetAllOrderDetails - - 
2024-06-17 15:46:30.7446 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo)' 
2024-06-17 15:46:30.7628 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "GetAllOrderDetails", controller = "CLOrderService"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult GetAllOrderDetails() on controller LogLevel_Demo.Controllers.CLOrderServiceController (LogLevel_Demo). 
2024-06-17 15:46:46.1350 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo) - Validation state: Valid 
2024-06-17 15:46:51.7612 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action method LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 5619.9311ms. 
2024-06-17 15:46:51.7612 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing OkObjectResult, writing value of type 'System.Collections.Generic.List`1[[LogLevel_Demo.Model.ORD01, LogLevel_Demo, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'. 
2024-06-17 15:46:51.7950 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo) in 21031.5725ms 
2024-06-17 15:46:51.7950 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'LogLevel_Demo.Controllers.CLOrderServiceController.GetAllOrderDetails (LogLevel_Demo)' 
2024-06-17 15:46:51.7950 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/api/CLOrderService/GetAllOrderDetails - - - 200 - application/json;+charset=utf-8 21118.2944ms 
