2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 9517 and flags NONE. 
2024-04-03 10:38:44.4854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-04-03 10:38:44.7107 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-03 10:38:44.7401 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-03 10:38:45.1291 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS. 
2024-04-03 10:38:45.1291 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 7 with length 4986 and flags NONE. 
2024-04-03 10:38:45.1291 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
2024-04-03 10:38:45.1291 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-04-03 10:39:42.3297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTH" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-04-03 10:39:42.3297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTH" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-04-03 10:39:42.3297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTH" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-04-03 10:39:42.3297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTH" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-04-03 10:39:42.3297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTH" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-04-03 10:39:42.3297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTH" received HEADERS frame for stream ID 1 with length 400 and flags END_HEADERS, PRIORITY. 
2024-04-03 10:39:42.3297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTH" received DATA frame for stream ID 1 with length 91 and flags END_STREAM. 
2024-04-03 10:39:42.3297 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-03 10:39:42.3526 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTH" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-04-03 10:39:43.2653 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-04-03 10:39:43.2653 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-04-03 10:39:43.2653 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-04-03 10:39:43.2653 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-04-03 10:39:43.2791 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method LogLevel_Demo.Controllers.CLOrderServiceController.PlaceOrder (LogLevel_Demo) with arguments (LogLevel_Demo.Model.ORD01) 
2024-04-03 10:39:49.7662 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-04-03 10:39:49.7662 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-04-03 10:39:49.7662 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-04-03 10:39:49.7662 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-04-03 10:39:49.9273 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-04-03 10:39:49.9273 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-04-03 10:39:49.9273 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult. 
2024-04-03 10:39:49.9341 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTH" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS. 
