2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 9517 and flags NONE. 
2024-06-18 16:54:34.8258 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-06-18 16:54:34.9133 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" received HEADERS frame for stream ID 7 with length 74 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-18 16:54:34.9133 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-18 16:54:35.5085 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS. 
2024-06-18 16:54:35.5085 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-18 16:54:35.5085 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 7 with length 5829 and flags NONE. 
2024-06-18 16:54:35.5085 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
2024-06-18 16:55:10.2325 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" received HEADERS frame for stream ID 9 with length 61 and flags END_STREAM, END_HEADERS, PRIORITY. 
