2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 6144 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5281 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5586 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5586 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
