2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 9517 and flags NONE. 
2024-05-24 10:14:21.6791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-05-24 10:14:21.8946 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-24 10:14:21.8946 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-24 10:14:22.3293 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS. 
2024-05-24 10:14:22.3293 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-05-24 10:14:22.3293 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 7 with length 5209 and flags NONE. 
2024-05-24 10:14:22.3293 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
2024-05-24 10:15:50.1763 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received HEADERS frame for stream ID 9 with length 110 and flags END_HEADERS, PRIORITY. 
2024-05-24 10:15:50.1763 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received PING frame for stream ID 0 with length 8 and flags NONE. 
2024-05-24 10:15:50.1763 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending PING frame for stream ID 0 with length 8 and flags ACK. 
2024-05-24 10:15:50.1763 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received DATA frame for stream ID 9 with length 108 and flags END_STREAM. 
2024-05-24 10:15:50.1763 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-24 10:15:50.2619 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter Job_Finder.Filters.AuthenticationFilter. 
2024-05-24 10:15:51.2754 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter Job_Finder.Filters.AuthenticationFilter. 
2024-05-24 10:15:51.3740 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-05-24 10:15:51.3740 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-05-24 10:15:51.3740 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-05-24 10:15:51.3740 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-05-24 10:15:51.3740 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Job_Finder.Controllers.CLRegistrationController.Registration (Job_Finder) with arguments (Job_Finder.Model.DTO.DtoUSR01) 
2024-05-24 10:15:51.4227 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
