2024-05-10 10:36:22.0658 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 7 with length 444 and flags NONE. 
2024-05-10 10:36:22.0658 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
2024-05-10 12:50:29.5167 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-10 12:50:29.5436 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-10 12:50:29.5436 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-10 12:50:29.5436 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-10 12:50:29.5436 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-10 12:50:29.5436 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-10 12:50:29.5924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-10 12:50:29.6323 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-10 12:50:31.5084 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-05-10 12:50:31.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-10 12:50:31.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-10 12:50:31.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-10 12:50:31.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-10 12:50:31.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-05-10 12:50:31.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-05-10 12:50:31.7750 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-05-10 12:50:31.7936 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
