2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 9517 and flags NONE. 
2024-06-17 12:00:14.5963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-06-17 12:00:14.8597 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" received HEADERS frame for stream ID 7 with length 74 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 12:00:14.8597 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 12:00:15.5831 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS. 
2024-06-17 12:00:15.5831 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-17 12:00:15.5831 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 7 with length 5829 and flags NONE. 
2024-06-17 12:00:15.5831 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
