2024-05-22 15:06:14.5108 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-22 15:06:14.5108 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-22 15:06:14.5108 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-22 15:06:14.5108 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-22 15:06:14.5108 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-22 15:06:14.5108 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-22 15:06:14.5108 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 5 with length 9517 and flags NONE. 
2024-05-22 15:06:14.5162 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-05-22 15:06:14.6042 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-22 15:06:14.6171 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
