2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 9517 and flags NONE. 
2024-06-19 11:30:57.9674 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-06-19 11:30:58.2312 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" received HEADERS frame for stream ID 7 with length 74 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-19 11:30:58.2312 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
